source_id,post_text,normalized_text,text_hash,annotated_sentiment,like_count,love_count,care_count,haha_count,wow_count,sad_count,angry_count,joy,affection,amusement,surprise,sadness,anger,care_empathy,fear,disgust,approval,sarcasm,pride,gratitude,disappointment,grief,jealousy,confusion,nostalgia,hope,excitement,relief,embarrassment,joy_mask,affection_mask,amusement_mask,surprise_mask,sadness_mask,anger_mask,care_empathy_mask,fear_mask,disgust_mask,approval_mask,sarcasm_mask,pride_mask,gratitude_mask,disappointment_mask,grief_mask,jealousy_mask,confusion_mask,nostalgia_mask,hope_mask,excitement_mask,relief_mask,embarrassment_mask
16,දූෂණ චෝදනාවක් සම්බන්ධයෙන් හිටපු නාවික හමුදාපති වසන්ත කරන්නාගොඩ සහ යෝෂිත රාජපක්ෂ යන අයට අද කොළඹ මහාධිකරණය හමුවේ අධිචෝදනා පත්‍ර භාරදීම සිදුවුණි.,දූෂණ චෝදනාවක් සම්බන්ධයෙන් හිටපු නාවික හමුදාපති වසන්ත කරන්නාගොඩ සහ යෝෂිත රාජපක්ෂ යන අයට අද කොළඹ මහාධිකරණය හමුවේ අධිචෝදනා පත්ර භාරදීම සිදුවුණි.,de49810a0262a70fc286c36638e0f449,Neutral,65,10,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,බන්ධනාගාර තදබදය අඩු කරන්න සුදුසු නඩුවලදී නිවාස අඩස්සියේ තබන යෝජනාවට කැබිනට් අනුමැතිය - වැඩි විස්තර : irinewslk.com/cabinet-approves-proposal-to-house-arrest-in-appropriate-cases-to-reduce-jail-congestion/,බන්ධනාගාර තදබදය අඩු කරන්න සුදුසු නඩුවලදී නිවාස අඩස්සියේ තබන යෝජනාවට කැබිනට් අනුමැතිය - වැඩි විස්තර : irinewslk.com/cabinet-approves-proposal-to-house-arrest-in-appropriate-cases-to-reduce-jail-congestion/,607202ca52ee8308bb06ace1be9ffae4,Neutral,778,72,4,78,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,"""හරිම සතුටුයි මේ තරමට රට වෙනස් වුණාට""","""හරිම සතුටුයි මේ තරමට රට වෙනස් වුණාට""",7fe32087380baee245652fcbe949d267,Negative,1538,75,8,2419,14,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,"Online එකේ photo එකේ තියෙන දේ එකක්, parcel එක ඇරියම තියෙන්නේ වෙන එකක්. ඒත් return කරන්නත් අලුත් නීති. මේ වගේ නොසැලකිල්ලකට ඉඩ දෙන්න බෑ. 😤","online එකේ photo එකේ තියෙන දේ එකක්, parcel එක ඇරියම තියෙන්නේ වෙන එකක්. ඒත් return කරන්නත් අලුත් නීති. මේ වගේ නොසැලකිල්ලකට ඉඩ දෙන්න බෑ. 😤",d893a296a90a50f10bc757a93f06341e,Negative,430,5,24,1,7,25,242,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,"වනජීවි හදිසි ප්‍රතිකාර සඳහා ත්‍රිවිධ හමුදා පශු වෛද්‍ය නිලධාරින්ගේ සහය ලබාගැනීමට පියවර... - පරිසර අමාත්‍යාංශය  
#LKA #News1st #SL #Srilanka",වනජීවි හදිසි ප්රතිකාර සඳහා ත්රිවිධ හමුදා පශු වෛද්ය නිලධාරින්ගේ සහය ලබාගැනීමට පියවර... - පරිසර අමාත්යාංශය #lka #news1st #sl #srilanka,4c9107189a1a9fc6fc249bbde38753f8,Positive,856,283,17,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,"Law College එක්සෑම් ලගම එනව නේද?? හෙට දෙනවා රිසෝස් සෙට් එකක්...!!
පෝස්ට් එකට 'Yes' කියල දාගෙන යන්න...!! 😃",law college එක්සෑම් ලගම එනව නේද?? හෙට දෙනවා රිසෝස් සෙට් එකක්...!! පෝස්ට් එකට 'yes' කියල දාගෙන යන්න...!! 😃,a2b1b10aee5d17d400a62670bc25c194,Positive,228,61,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,විදේශ රටවල සැඟව සිටින ප්‍රබල පාතාල සහ මත්ද්‍රව්‍ය ජාවාරම්කරුවන් අතුරින් ජාත්‍යන්තර රතු වරෙන්තු නිකුත් කර ඇති 73 දෙනෙකු ඉදිරියේදී මෙරටට ගෙන්වා ගැනීමට පියවර ගන්නා බව පොලිස්පති ප්‍රියන්ත වීරසූරිය මහතා පවසයි.,විදේශ රටවල සැඟව සිටින ප්රබල පාතාල සහ මත්ද්රව්ය ජාවාරම්කරුවන් අතුරින් ජාත්යන්තර රතු වරෙන්තු නිකුත් කර ඇති 73 දෙනෙකු ඉදිරියේදී මෙරටට ගෙන්වා ගැනීමට පියවර ගන්නා බව පොලිස්පති ප්රියන්ත වීරසූරිය මහතා පවසයි.,b748223386777c37e8ffc44b90149f3d,Positive,183,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,"ප්‍රතිපත්තියක් විදිහට ජීවිතේ කිසිම දවසක,කිසිම මනුස්සයෙක්ට අපහාස කරලා නෑ.කරන්නෙත් නෑ ☺️","ප්රතිපත්තියක් විදිහට ජීවිතේ කිසිම දවසක,කිසිම මනුස්සයෙක්ට අපහාස කරලා නෑ.කරන්නෙත් නෑ ☺️",84dbdedb4d8a60a86b383ce2f57c7adc,Positive,34,70,15,11,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,හායී ලස්සන අක්කා බබෝ.. 😌💗🖐️,හායී ලස්සන අක්කා බබෝ.. 😌💗🖐️,2814b45aa0d8c2ee07173d5bfdf75d79,Positive,4,3,0,10,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,"විදුලි බිල ගන්න ගියාම අදත් මිල වැඩි. ආදායම එතනමයි, වියදම දවසින් දවස ඉහළ යනවා. සාධාරණ විසඳුමක් එනකම් මේ ගැන කතා කරන්න ඕනේ.","විදුලි බිල ගන්න ගියාම අදත් මිල වැඩි. ආදායම එතනමයි, වියදම දවසින් දවස ඉහළ යනවා. සාධාරණ විසඳුමක් එනකම් මේ ගැන කතා කරන්න ඕනේ.",a95c0e2a597db340def4180105751907,Negative,778,21,72,21,52,280,1013,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,"ගෙදරටම ඇවිත් දරුවෙක් පැහැරගන්න උත්සහ කළ සිව්දෙනෙක් අත්අඩංගුවට
වැඩි විස්තර >>>https://tinyurl.com/3y8bb94n
🟠 WhatsApp Channel 👉  https://whatsapp.com/channel/0029VarihUt9WtBwt0jbvr47
#dasathanews #LKA #Dasatha #SL #Srilanka",ගෙදරටම ඇවිත් දරුවෙක් පැහැරගන්න උත්සහ කළ සිව්දෙනෙක් අත්අඩංගුවට වැඩි විස්තර >>>https://tinyurl.com/3y8bb94n 🟠 whatsapp channel 👉 https://whatsapp.com/channel/0029varihut9wtbwt0jbvr47 #dasathanews #lka #dasatha #sl #srilanka,3b5047d72a1539852c0359fee91b2507,Negative,32,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,අද දවල් දරුවන්ගේ ක්රීඩා පිටිය වාහන නවත්වන තැනක් කරලා. මේ වගේ වැඩ දැක්කම නිහඬව ඉන්න හිතෙන්නේ නෑ.,අද දවල් දරුවන්ගේ ක්රීඩා පිටිය වාහන නවත්වන තැනක් කරලා. මේ වගේ වැඩ දැක්කම නිහඬව ඉන්න හිතෙන්නේ නෑ.,595cce8bbd9161120c6339e4cffa9f0e,Negative,116,4,7,3,6,32,145,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,"තරුණයෙක් අද මට කිව්වේ ""ඔයාට පුළුවන්"" කියලා වචන දෙකක් විතරයි. ඒත් ඒකම අද දවසට ලොකු ශක්තියක් වුණා. මෙහෙම මිනිස්සු තව තවත් ලැබෙන්න ඕනේ. 🫶","තරුණයෙක් අද මට කිව්වේ ""ඔයාට පුළුවන්"" කියලා වචන දෙකක් විතරයි. ඒත් ඒකම අද දවසට ලොකු ශක්තියක් වුණා. මෙහෙම මිනිස්සු තව තවත් ලැබෙන්න ඕනේ. 🫶",a5a233524f8f87a7f745b0208564348a,Positive,283,249,38,1,6,3,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,"ෂම්මිට නීතිවිරෝධී වත්කම් විමර්ශන කොට්ඨාසයෙන් කැඳවීමක්
වැඩි විස්තර >>>https://tinyurl.com/2zz5hh2a
🟠 WhatsApp Channel 👉  https://whatsapp.com/channel/0029VarihUt9WtBwt0jbvr47
#dasathanews #LKA #Dasatha #SL #Srilanka",ෂම්මිට නීතිවිරෝධී වත්කම් විමර්ශන කොට්ඨාසයෙන් කැඳවීමක් වැඩි විස්තර >>>https://tinyurl.com/2zz5hh2a 🟠 whatsapp channel 👉 https://whatsapp.com/channel/0029varihut9wtbwt0jbvr47 #dasathanews #lka #dasatha #sl #srilanka,b0b8624fe90981b2cce5ff7e169735a7,Neutral,371,38,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,"පොලීසිය නිලධාරීන් ජල හිඟය සම්බන්ධයෙන් නිශ්ශබ්දව.
වැඩිදුර විස්තර අනුගමනය කරන්න.",පොලීසිය නිලධාරීන් ජල හිඟය සම්බන්ධයෙන් නිශ්ශබ්දව. වැඩිදුර විස්තර අනුගමනය කරන්න.,58bfbd3aa29994001eb42435753473e4,Negative,12,4,1,1,5,5,48,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,"ජාතිවාදී බලවේග නැති වී රට සාමකාමී මාවතකට පිවිස තිබෙන හැටි නි.අමාත්‍ය නලින් හේවගේ හෙළි කරයි.. 
Watch More: https://news1st.lk/4ibs81M
#lka #News1st #SL #SriLanka #JJB #MP #DeputyMinister #NalinHewage #CleanSrilanka",ජාතිවාදී බලවේග නැති වී රට සාමකාමී මාවතකට පිවිස තිබෙන හැටි නි.අමාත්ය නලින් හේවගේ හෙළි කරයි.. watch more: https://news1st.lk/4ibs81m #lka #news1st #sl #srilanka #jjb #mp #deputyminister #nalinhewage #cleansrilanka,418c562dcc63d4fdd4623890e01299e2,Positive,960,25,1,502,4,1,10,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,"දෙමළ,මහමදික,මලයහ තමිල් ඒකාබද්ධ ඉල්ලීම්වලට පක්ෂවුණොත් දේශද්‍රෝහි  ටැටූව වදීවිද?  Pl read the 1st comment .","දෙමළ,මහමදික,මලයහ තමිල් ඒකාබද්ධ ඉල්ලීම්වලට පක්ෂවුණොත් දේශද්රෝහි ටැටූව වදීවිද? pl read the 1st comment .",4da5d4ccffabdcf17a85a3bfbb3685e9,Negative,119,0,1,44,2,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
