record_id,data_origin,annotation_provenance,provided_sentiment,provided_joy,provided_affection,provided_amusement,provided_surprise,provided_sadness,provided_anger,provided_care_empathy,provided_fear,provided_disgust,provided_approval,provided_sarcasm,provided_confidence
RF_POST_000134,legacy_source,human_adjudicated_development,mixed,no,yes,no,no,yes,no,yes,no,no,yes,no,high
RF_POST_000139,legacy_source,human_adjudicated_development,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
RF_POST_000140,legacy_source,human_adjudicated_development,positive,yes,yes,no,no,no,no,no,no,no,yes,no,medium
RF_POST_000145,legacy_source,human_adjudicated_development,uncertain,no,no,uncertain,no,no,no,no,no,no,no,uncertain,low
RF_POST_000150,legacy_source,human_adjudicated_development,mixed,no,yes,no,no,no,no,no,yes,no,yes,no,medium
RF_POST_000152,legacy_source,human_adjudicated_development,mixed,no,yes,no,no,no,no,no,no,no,yes,yes,medium
RF_POST_000181,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000184,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000186,legacy_source,human_adjudicated_development,negative,no,no,no,no,no,no,no,no,no,no,no,medium
RF_POST_000187,legacy_source,human_adjudicated_development,negative,no,no,yes,no,yes,no,no,no,no,no,yes,medium
RF_POST_000191,legacy_source,human_adjudicated_development,neutral,no,no,yes,no,no,no,no,no,no,no,yes,medium
RF_POST_000196,legacy_source,human_adjudicated_development,uncertain,no,uncertain,no,no,uncertain,no,no,no,no,no,no,low
RF_POST_000201,legacy_source,human_adjudicated_development,negative,no,no,yes,no,yes,no,no,no,no,no,no,medium
RF_POST_000204,legacy_source,human_adjudicated_development,negative,no,no,yes,no,yes,no,no,no,no,no,no,medium
RF_POST_000206,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,no,no,no,no,no,no,high
RF_POST_000207,legacy_source,human_adjudicated_development,positive,no,yes,yes,no,no,no,no,no,no,no,no,high
RF_POST_000212,legacy_source,human_adjudicated_development,positive,yes,yes,yes,no,no,no,no,no,no,yes,no,high
RF_POST_000216,legacy_source,human_adjudicated_development,positive,yes,no,yes,no,no,no,no,no,no,yes,no,high
RF_POST_000217,legacy_source,human_adjudicated_development,positive,yes,yes,no,no,no,no,no,no,no,no,no,high
RF_POST_000218,legacy_source,human_adjudicated_development,positive,no,yes,no,no,no,no,no,no,no,yes,no,high
RF_POST_000229,legacy_source,human_adjudicated_development,positive,yes,yes,yes,no,no,no,no,no,no,yes,no,high
RF_POST_000246,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000252,legacy_source,human_adjudicated_development,positive,no,no,yes,no,no,no,no,no,no,no,no,medium
RF_POST_000253,legacy_source,human_adjudicated_development,neutral,no,no,yes,no,no,no,no,no,no,no,no,medium
RF_POST_000263,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,no,no,no,no,no,no,medium
RF_POST_000288,legacy_source,human_adjudicated_development,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
RF_POST_000304,legacy_source,human_adjudicated_development,negative,no,no,no,no,yes,no,no,no,no,no,no,high
RF_POST_000307,legacy_source,human_adjudicated_development,negative,no,no,yes,no,yes,no,no,no,no,no,no,medium
RF_POST_000315,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000328,legacy_source,human_adjudicated_development,neutral,no,no,yes,no,no,no,no,no,no,no,yes,medium
RF_POST_000347,legacy_source,human_adjudicated_development,positive,yes,no,yes,no,no,no,no,no,no,yes,no,medium
RF_POST_000348,legacy_source,human_adjudicated_development,positive,yes,yes,yes,no,no,no,no,no,no,no,no,high
RF_POST_000351,legacy_source,human_adjudicated_development,negative,no,no,yes,no,yes,no,no,no,no,no,no,medium
RF_POST_000379,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,no,no,no,no,no,yes,medium
RF_POST_000384,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
RF_POST_000388,legacy_source,human_adjudicated_development,positive,yes,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000391,legacy_source,human_adjudicated_development,negative,no,no,no,no,yes,no,yes,no,no,no,no,high
RF_POST_000392,legacy_source,human_adjudicated_development,neutral,no,no,yes,no,no,no,no,no,no,no,no,medium
RF_POST_000395,legacy_source,human_adjudicated_development,neutral,no,no,yes,no,no,no,no,no,no,no,yes,medium
RF_POST_000398,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,yes,no,no,yes,no,yes,high
RF_POST_000483,legacy_source,human_adjudicated_development,negative,no,no,yes,yes,no,no,no,no,no,no,no,high
RF_POST_000485,legacy_source,human_adjudicated_development,neutral,no,no,yes,no,no,no,no,no,no,no,no,medium
RF_POST_000498,legacy_source,human_adjudicated_development,negative,no,no,no,no,no,yes,no,no,yes,no,yes,high
RF_POST_000500,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,no,no,no,no,no,yes,low
RF_POST_000503,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,no,no,no,no,no,yes,medium
RF_POST_000505,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,no,no,no,yes,no,yes,medium
RF_POST_000519,legacy_source,human_adjudicated_development,negative,no,no,no,no,yes,no,no,yes,no,no,no,high
RF_POST_000520,legacy_source,human_adjudicated_development,negative,no,no,no,no,no,yes,no,no,yes,no,no,medium
RF_POST_000524,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,yes,no,no,no,no,high
RF_POST_000525,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000533,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000543,legacy_source,human_adjudicated_development,negative,no,no,no,no,no,no,no,yes,no,no,no,high
RF_POST_000548,legacy_source,human_adjudicated_development,negative,no,no,no,no,no,yes,no,no,yes,no,no,high
RF_POST_000549,legacy_source,human_adjudicated_development,negative,no,no,no,no,yes,no,no,no,no,no,no,medium
RF_POST_000555,legacy_source,human_adjudicated_development,positive,yes,yes,yes,no,no,no,no,no,no,no,no,high
RF_POST_000556,legacy_source,human_adjudicated_development,mixed,no,yes,no,no,yes,no,no,no,no,no,no,medium
RF_POST_000572,legacy_source,human_adjudicated_development,negative,no,no,no,no,yes,no,no,no,no,no,yes,medium
RF_POST_000577,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,no,no,no,no,no,yes,medium
RF_POST_000578,legacy_source,human_adjudicated_development,positive,no,yes,no,no,no,no,yes,no,no,yes,no,high
RF_POST_000588,legacy_source,human_adjudicated_development,negative,no,no,no,no,yes,no,no,no,yes,no,yes,medium
RF_POST_000589,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,no,no,no,no,no,yes,high
RF_POST_000591,legacy_source,human_adjudicated_development,negative,no,no,no,no,yes,no,no,no,no,no,yes,medium
RF_POST_000594,legacy_source,human_adjudicated_development,negative,no,no,no,no,no,no,no,no,yes,no,yes,medium
RF_POST_000610,legacy_source,human_adjudicated_development,positive,yes,yes,yes,no,no,no,no,no,no,yes,no,medium
RF_POST_000614,legacy_source,human_adjudicated_development,positive,no,yes,no,no,no,no,no,no,no,yes,no,high
RF_POST_000631,legacy_source,human_adjudicated_development,negative,no,no,no,no,yes,no,no,no,no,no,yes,medium
RF_POST_000655,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000677,legacy_source,human_adjudicated_development,uncertain,no,no,uncertain,no,no,no,no,no,no,no,uncertain,low
RF_POST_000678,legacy_source,human_adjudicated_development,negative,no,no,no,no,no,yes,no,no,no,no,yes,medium
RF_POST_000682,legacy_source,human_adjudicated_development,negative,no,no,no,no,yes,no,yes,no,no,no,no,medium
RF_POST_000686,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,yes,no,no,yes,no,yes,high
RF_POST_000690,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,no,no,no,yes,no,yes,medium
RF_POST_000698,legacy_source,human_adjudicated_development,negative,no,no,yes,no,yes,no,no,no,no,no,yes,medium
RF_POST_000712,legacy_source,human_adjudicated_development,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
RF_POST_000739,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000745,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000750,legacy_source,human_adjudicated_development,negative,no,no,no,no,yes,no,no,no,yes,no,no,medium
RF_POST_000751,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,no,no,no,yes,no,yes,medium
RF_POST_000780,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
RF_POST_000817,legacy_source,human_adjudicated_development,negative,no,no,no,no,yes,no,no,no,no,no,no,high
RF_POST_000818,legacy_source,human_adjudicated_development,negative,no,no,no,no,yes,no,no,no,no,no,no,high
RF_POST_000825,legacy_source,human_adjudicated_development,neutral,no,uncertain,no,no,uncertain,no,no,no,no,no,no,medium
RF_POST_000865,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,no,no,no,no,no,yes,high
RF_POST_000880,legacy_source,human_adjudicated_development,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
RF_POST_000888,legacy_source,human_adjudicated_development,positive,no,no,no,no,no,no,no,no,no,yes,no,high
RF_POST_000892,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000904,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000917,legacy_source,human_adjudicated_development,neutral,no,no,no,yes,no,no,no,no,no,no,no,medium
RF_POST_000928,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000939,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,no,no,no,no,no,yes,medium
RF_POST_000942,legacy_source,human_adjudicated_development,negative,no,no,yes,no,no,no,no,no,yes,no,yes,medium
RF_POST_000945,legacy_source,human_adjudicated_development,positive,yes,no,yes,no,no,no,no,no,no,yes,no,high
RF_POST_000949,legacy_source,human_adjudicated_development,negative,no,no,no,no,no,no,yes,no,yes,no,yes,low
RF_POST_000956,legacy_source,human_adjudicated_development,negative,no,no,no,no,yes,no,no,no,no,no,no,high
RF_POST_000957,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000963,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000965,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000986,legacy_source,human_adjudicated_development,positive,yes,no,yes,no,no,no,no,no,no,yes,no,high
RF_POST_000991,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000996,legacy_source,human_adjudicated_development,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
RF_POST_001000,legacy_source,human_adjudicated_development,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000001,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000002,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000003,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000004,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000005,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_000006,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_000007,synthetic_augmentation,provided_synthetic_unverified,positive,no,yes,no,no,no,no,no,no,no,no,no,high
SYN_POST_000008,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_000009,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_000010,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000011,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_000012,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000013,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000014,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_000015,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000016,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000017,synthetic_augmentation,provided_synthetic_unverified,positive,no,yes,no,no,no,no,no,no,no,no,no,high
SYN_POST_000018,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,yes,no,no,no,no,no,no,no,medium
SYN_POST_000019,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000020,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_000021,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000022,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_000023,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000024,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,yes,no,high
SYN_POST_000025,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000026,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_000027,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000028,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000029,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000030,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,medium
SYN_POST_000031,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000032,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_000033,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000034,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000035,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,yes,no,no,no,no,no,no,no,medium
SYN_POST_000036,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000037,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000038,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000039,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000040,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_000041,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_000042,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_000043,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_000044,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000045,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000046,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000047,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_000048,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000049,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000050,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000051,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000052,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000053,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000054,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,yes,no,no,no,no,high
SYN_POST_000055,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000056,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000057,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000058,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000059,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,yes,no,no,no,no,high
SYN_POST_000060,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,yes,no,no,no,no,no,no,no,medium
SYN_POST_000061,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000062,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,yes,no,no,no,no,no,no,no,medium
SYN_POST_000063,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000064,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_000065,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_000066,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_000067,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000068,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_000069,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,medium
SYN_POST_000070,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,yes,no,no,no,no,high
SYN_POST_000071,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,yes,no,no,no,no,no,no,no,medium
SYN_POST_000072,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_000073,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000074,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000075,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,yes,no,no,no,no,no,no,no,medium
SYN_POST_000076,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_000077,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_000078,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000079,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000080,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000081,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_000082,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000083,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000084,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000085,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_000086,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000087,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_000088,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_000089,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000090,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000091,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000092,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000093,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000094,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000095,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_000096,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_000097,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000098,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000099,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000100,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_000101,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000102,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000103,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000104,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_000105,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000106,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000107,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000108,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000109,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000110,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_000111,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_000112,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000113,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_000114,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,yes,no,high
SYN_POST_000115,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_000116,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_000117,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,medium
SYN_POST_000118,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
